AnswerID,QuestionID,Text,Order,FollowingQuestions
1,1,כן,1,2
2,1,לא,2,11
3,2,חול,3,6
4,2,בסיס,3,6
5,2,דירה,3,5
6,2,מלון,3,4
7,2,יישוב - נשארו ביישוב,3,3
8,2,"אחר  (כיתה כוננות, קירבה למקום העבודה לגזור מהתרשים זרימה...",3,5
9,3,מטפל בחיית המחמד שלי \ בבית שלי,4,6
10,3,אני גר בבית,4,6
11,3,העבודה שלי ביישוב,4,6
12,3,קירבה למקום העבדוה,4,6
13,3,חבר כיתת כוננות,4,6
14,3,אחר,4,6
15,7,הורים,5,9
16,7,בן\בת זוג,5,9
17,7,אחר,5,9
18,8,כולם איתי,6,9
19,8,אני מתגורר ללא ילדיי,6,9
20,8,אחר(שדה פתוח),6,9
21,9,דיור,7,9
22,9,חינוך,7,9
23,9,בריאות,7,9
24,9,רווחה,7,9
25,9,בירוקרטיה,7,9
26,9,ציוד חסר,7,9
27,9,תשתיות,7,9
28,9,כלכלה,7,9
29,9,בידור ופנאי,7,9
30,9,לא נדרש לי סיוע נוסף,8,11
31,10,האם אתה צריך משהו נוסף?,9,11